,单词,释义,划分,例句
1,accept,vi. 承认；同意；承兑,ac-cept,She had to accept the fact that summer vacation was over. 她不得不接受暑假已经结束这个事实.
2,achieve,vt. 取得；获得；实现；成功,ac-hie-ve,She worked hard to achieve her goals. 她努力工作以实现她的目标。
3,act,vt. 扮演；装作，举动像,act,She likes to act in school plays. 她喜欢在学校的戏剧中扮演角色。
4,add,vi. 加；增加；加起来；做加法,add,He likes to add sugar to his coffee every morning. 他喜欢在每天早晨的咖啡里加糖。
5,address,vt. 演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理,add-ress,He addressed the audience with a heartfelt speech. 他以一篇发自内心的演讲向观众致辞.
7,advise,vt. 建议；劝告，忠告；通知；警告,ad-vi-se,He always advises his friends to study hard. 他总是建议他的朋友努力学习。
8,afford,vt. 给予，提供；买得起,af-ford,She couldn't afford to buy a new car. 她买不起新车。
9,age,vt. 使成熟；使变老，使上,a-ge,He tried to age the wine to enhance its flavor. 他试图让葡萄酒变老以增强其味道。
10,agree,vi. ,ag-ree,She and I agree on the movie choice. 她和我在电影选择上达成了一致意见.
12,allow,vi. 容许；考虑,al-low,The teacher will allow us to use calculators during the exam.老师会允许我们在考试时使用计算器.
13,answer,vt. 回答；符合,ans-wer,She didn't answer my question. 她没有回答我的问题.
14,appear,vi. 出现；显得；似乎；出庭；登场,ap-pear,He appears at the door. 他出现在门口.
15,arm,vt. 武装；备战,arm,She decided to arm herself with knowledge before entering the debate. 她决定在参加辩论前武装自己以应对。
16,arrive,vi. 到达；成功；达成；出生,ar-ri-ve,He will arrive at the airport at noon. 他将于中午抵达机场。
17,art,v. 是（be的变体）,art,Art is a way of expressing oneself. 艺术是表达自己的一种方式.
19,ask,vt. 问，询问；要求；需要；邀请；讨价,ask,She asked her friend to help with the homework. 她请求她的朋友帮忙做家庭作业.
20,attend,vi. 出席；致力于；照料；照顾,at-tend,She attends the ballet class every Saturday. 她每个星期六都去上芭蕾舞课。
21,avoid,vt. 避免；避开，躲避；消除,a-void,She tried to avoid making eye contact with him. 她努力避免与他眼神接触.
39,beat,vt. 打；打败,beat,He managed to beat his high score in the game. 他设法击败了他在游戏中的最高分。
40,become,vt. 适合；相称,be-co-me,He will become a doctor in the future. 他将来会成为一名医生.
43,begin,vi. 开始；首先,be-gin,He begins his journey early in the morning. 他早上开始了他的旅程.
44,believe,vi. 信任；料想；笃信宗教,be-lie-ve,I believe you will do well in the exam. 我相信你会在考试中取得好成绩。
47,better,vt. 改善；胜过,bet-ter,He tries to better his skills through practice. 他通过练习努力提升自己的技能。
55,block,vt. 阻止；阻塞；限制；封盖,block,He used a large rock to block the entrance. 他用一块大石头堵住了入口。
63,book,vt. 预订；登记,book,I'll book a table for us at the restaurant. 我们在餐厅预订一张桌子。
66,born,v. 出世（bear的过去分词）,born,She was born in a small town. 她出生在一个小镇。
67,borrow,vt. 借；借用,bor-row,She likes to borrow books from the library. 她喜欢从图书馆借书。
72,box,vt. 拳击；装…入盒中；打耳光,box,He likes to box for exercise. 他喜欢拳击来锻炼身体。
75,bread,vt. 在…上洒面包屑,bread,She carefully breads the chicken before frying it. 她在炸鸡之前仔细地在上面撒了面包屑.
76,break,vi. 打破；折断；弄坏；削弱,break,"He tried to break the stick, but it was too strong. 他试图打断那根木棍，但它太坚硬了。"
79,bring,vt. 带来；促使；引起；使某人处于某种情况或境地,bring,He always forgets to bring his lunch to school. 他总是忘记带午餐去学校。
81,brush,vi. 刷；擦过；掠过；（经过时）轻触,brush,She brushed her hair before going to bed. 她睡觉前梳理了她的头发.
82,build,vi. 建筑；建造,build,He likes to build sandcastles on the beach. 他喜欢在沙滩上建造沙堡.
84,burn,vt. 燃烧；烧毁，灼伤；激起…的愤怒,burn,The fire caused the wood to burn quickly. 火引起木材迅速燃烧。
85,busy,vt. 使忙于,bu-sy,She is busy with her homework. 她正在忙于她的家庭作业。
86,buy,vi. 买，采购,buy,She decided to buy a new dress for the party. 她决定为聚会买一条新裙子。
89,call,vi. 呼叫；拜访；叫牌,call,I will call my friend tomorrow. 我明天会打电话给我的朋友.
90,camp,vt. 扎营；使扎营,camp,They camp by the lake every summer. 他们每年夏天都在湖边扎营。
91,can,vt. 将…装入密封罐中保存,can,He can seal the jar tightly to preserve the contents. 他能将罐子密封得很紧以保存内容。
93,cancel,vi. 取消，撤销,can-cel,He decided to cancel his subscription to the magazine. 他决定取消他对这本杂志的订阅。
97,card,vt. 记于卡片上,card,She likes to card wool before spinning it into yarn. 她喜欢在纺线之前先把羊毛梳理整齐。
98,care,vt. 在意；希望或喜欢,ca-re,She doesn't care about the latest fashion trends. 她不关心最新的时尚潮流.
99,carry,vi. 能达到；被携带；被搬运,car-ry,She can carry a tune quite well. 她能唱得相当好。
